,shared_teks_by_generation_date,shared_teks_by_generation_date,shared_teks_by_generation_date,shared_teks_by_generation_date,shared_teks_by_generation_date,shared_teks_by_generation_date,shared_teks_by_generation_date
region,BE,CH,ES,ES@PRE,IT,IT-IT,PT
sample_date,,,,,,,
2020-10-22,0,0,2,0,0,0,0
2020-10-21,0,232,170,10,0,0,23
2020-10-20,370,768,306,12,118,0,61
2020-10-19,597,1230,417,58,665,76,103
2020-10-18,678,1600,512,65,652,61,155
2020-10-17,804,1951,631,66,673,57,173
2020-10-16,829,2234,649,73,667,56,211
2020-10-15,831,2461,687,68,718,54,232
2020-10-14,794,2500,644,400,738,54,223
2020-10-13,734,2474,574,393,750,51,213
2020-10-12,638,2324,521,427,742,52,192
2020-10-11,517,2094,473,101,738,50,175
2020-10-10,430,1828,435,98,709,51,152
2020-10-09,387,1618,424,94,685,51,135
